input_reaction_separated,input_reaction_combined,product_1_tokenized,product_2_tokenized
C ( C C C S ( = O ) ( N ) = O ) # N . F C ( c 1 c c c ( c c 1 ) B ( O ) O ) ( F ) F > C [Si] ( C ) ( C ) [O-] . [K+] . Cl C C Cl . C C ( = O ) [O-] . [O-] C ( C ) = O . [Cu+2],Cl C C Cl . C ( C C C S ( = O ) ( N ) = O ) # N . C C ( = O ) [O-] . [O-] C ( C ) = O . [Cu+2] . F C ( c 1 c c c ( c c 1 ) B ( O ) O ) ( F ) F . C [Si] ( C ) ( C ) [O-] . [K+],N # C C C C S ( = O ) ( = O ) N c 1 c c c ( C ( F ) ( F ) F ) c c 1,N # C C C C S ( = O ) ( = O ) N ( c 1 c c c ( C ( F ) ( F ) F ) c c 1 ) c 1 c c c ( C ( F ) ( F ) F ) c c 1
c 1 c ( c c c ( B ( O ) O ) c 1 ) O C . S ( C c 1 n o c ( c 1 ) C ) ( = O ) ( N ) = O > C C # N . C ( C ) ( [O-] ) = O . [O-] C ( C ) = O . [Cu+2] . C N ( C ) c 1 c c n c c 1,c 1 c ( c c c ( B ( O ) O ) c 1 ) O C . C C # N . S ( C c 1 n o c ( c 1 ) C ) ( = O ) ( N ) = O . C N ( C ) c 1 c c n c c 1 . C ( C ) ( [O-] ) = O . [O-] C ( C ) = O . [Cu+2],C O c 1 c c c ( N S ( = O ) ( = O ) C c 2 c c ( C ) o n 2 ) c c 1,C O c 1 c c c ( N ( c 2 c c c ( O C ) c c 2 ) S ( = O ) ( = O ) C c 2 c c ( C ) o n 2 ) c c 1
O B ( c 1 c c c ( c c 1 ) O C ) O . C ( S ( = O ) ( N ) = O ) C c 1 c c c c c 1 > C ( F ) ( F ) ( S ( = O ) ( = O ) [O-] ) F . C ( F ) ( S ( = O ) ( [O-] ) = O ) ( F ) F . [Cu+2] . O = P ( [O-] ) ( [O-] ) [O-] . [K+] . [K+] . [K+] . Cl C C Cl,Cl C C Cl . C ( S ( = O ) ( N ) = O ) C c 1 c c c c c 1 . C ( F ) ( F ) ( S ( = O ) ( = O ) [O-] ) F . C ( F ) ( S ( = O ) ( [O-] ) = O ) ( F ) F . [Cu+2] . O = P ( [O-] ) ( [O-] ) [O-] . [K+] . [K+] . [K+] . O B ( c 1 c c c ( c c 1 ) O C ) O,C O c 1 c c c ( N S ( = O ) ( = O ) C C c 2 c c c c c 2 ) c c 1,C O c 1 c c c ( N ( c 2 c c c ( O C ) c c 2 ) S ( = O ) ( = O ) C C c 2 c c c c c 2 ) c c 1
F C ( F ) ( c 1 c c c ( c c 1 ) B ( O ) O ) F . N # C C C C S ( = O ) ( N ) = O > C C O C ( C ) = O . N ( C ) ( C C N ( C ) C ) C . N ( C C N ( C ) C ) ( C ) C . [Cl-] . [Cl-] . [Cu+2] . [Cu+2] . [OH-] . [OH-] . C C N ( C C ) C C,N ( C ) ( C C N ( C ) C ) C . N ( C C N ( C ) C ) ( C ) C . [Cl-] . [Cl-] . [Cu+2] . [Cu+2] . [OH-] . [OH-] . C C O C ( C ) = O . F C ( F ) ( c 1 c c c ( c c 1 ) B ( O ) O ) F . C C N ( C C ) C C . N # C C C C S ( = O ) ( N ) = O,N # C C C C S ( = O ) ( = O ) N c 1 c c c ( C ( F ) ( F ) F ) c c 1,N # C C C C S ( = O ) ( = O ) N ( c 1 c c c ( C ( F ) ( F ) F ) c c 1 ) c 1 c c c ( C ( F ) ( F ) F ) c c 1
c 1 ( C ( F ) ( F ) F ) c c c ( B ( O ) O ) c c 1 . c 1 ( c c c ( c c 1 ) - n 1 c ( c c ( n 1 ) C ( F ) ( F ) F ) - c 1 c c c ( C ) c c 1 ) S ( = O ) ( N ) = O > C N ( C C N ( C ) C ) C . C N ( C ) C C N ( C ) C . [Cl-] . [Cl-] . [Cu+2] . [Cu+2] . [OH-] . [OH-] . C O . O = P ( [O-] ) ( [O-] ) [O-] . [K+] . [K+] . [K+],C O . O = P ( [O-] ) ( [O-] ) [O-] . [K+] . [K+] . [K+] . c 1 ( C ( F ) ( F ) F ) c c c ( B ( O ) O ) c c 1 . c 1 ( c c c ( c c 1 ) - n 1 c ( c c ( n 1 ) C ( F ) ( F ) F ) - c 1 c c c ( C ) c c 1 ) S ( = O ) ( N ) = O . C N ( C C N ( C ) C ) C . C N ( C ) C C N ( C ) C . [Cl-] . [Cl-] . [Cu+2] . [Cu+2] . [OH-] . [OH-],C c 1 c c c ( - c 2 c c ( C ( F ) ( F ) F ) n n 2 - c 2 c c c ( S ( = O ) ( = O ) N c 3 c c c ( C ( F ) ( F ) F ) c c 3 ) c c 2 ) c c 1,C c 1 c c c ( - c 2 c c ( C ( F ) ( F ) F ) n n 2 - c 2 c c c ( S ( = O ) ( = O ) N ( c 3 c c c ( C ( F ) ( F ) F ) c c 3 ) c 3 c c c ( C ( F ) ( F ) F ) c c 3 ) c c 2 ) c c 1
n 1 c ( c ( C ( N ( C ) C ) = O ) c c c 1 ) S ( = O ) ( = O ) N . c 1 ( O C ) c c c ( c c 1 ) B ( O ) O > C C # N . N # C C . C C # N . C ( C ) # N . F [P-] ( F ) ( F ) ( F ) ( F ) F . [Cu+] . O = C ( [O-] ) [O-] . [K+] . [K+] . Cl C C Cl,O = C ( [O-] ) [O-] . [K+] . [K+] . n 1 c ( c ( C ( N ( C ) C ) = O ) c c c 1 ) S ( = O ) ( = O ) N . C C # N . N # C C . C C # N . C ( C ) # N . F [P-] ( F ) ( F ) ( F ) ( F ) F . [Cu+] . Cl C C Cl . c 1 ( O C ) c c c ( c c 1 ) B ( O ) O,C O c 1 c c c ( N S ( = O ) ( = O ) c 2 n c c c c 2 C ( = O ) N ( C ) C ) c c 1,C O c 1 c c c ( N ( c 2 c c c ( O C ) c c 2 ) S ( = O ) ( = O ) c 2 n c c c c 2 C ( = O ) N ( C ) C ) c c 1
O B ( O ) c 1 c c c ( C ( F ) ( F ) F ) c c 1 . C O C C O c 1 c c c c c 1 S ( N ) ( = O ) = O > C O . C C # N . C C # N . C C # N . C C # N . F [P-] ( F ) ( F ) ( F ) ( F ) F . [Cu+] . C N ( C ) c 1 c c n c c 1,C N ( C ) c 1 c c n c c 1 . O B ( O ) c 1 c c c ( C ( F ) ( F ) F ) c c 1 . C O . C C # N . C C # N . C C # N . C C # N . F [P-] ( F ) ( F ) ( F ) ( F ) F . [Cu+] . C O C C O c 1 c c c c c 1 S ( N ) ( = O ) = O,C O C C O c 1 c c c c c 1 S ( = O ) ( = O ) N c 1 c c c ( C ( F ) ( F ) F ) c c 1,C O C C O c 1 c c c c c 1 S ( = O ) ( = O ) N ( c 1 c c c ( C ( F ) ( F ) F ) c c 1 ) c 1 c c c ( C ( F ) ( F ) F ) c c 1
O B ( O ) c 1 c c c ( c c 1 ) O C . O = S ( = O ) ( C c 1 n o c ( c 1 ) C ) N > C ( # N ) C . N # C C . C ( # N ) C . C ( # N ) C . [P-] ( F ) ( F ) ( F ) ( F ) ( F ) F . [Cu+] . C O . C C N ( C ( C ) C ) C ( C ) C,C C N ( C ( C ) C ) C ( C ) C . O B ( O ) c 1 c c c ( c c 1 ) O C . C O . O = S ( = O ) ( C c 1 n o c ( c 1 ) C ) N . C ( # N ) C . N # C C . C ( # N ) C . C ( # N ) C . [P-] ( F ) ( F ) ( F ) ( F ) ( F ) F . [Cu+],C O c 1 c c c ( N S ( = O ) ( = O ) C c 2 c c ( C ) o n 2 ) c c 1,C O c 1 c c c ( N ( c 2 c c c ( O C ) c c 2 ) S ( = O ) ( = O ) C c 2 c c ( C ) o n 2 ) c c 1
B ( O ) ( c 1 c c c ( O C ) c c 1 ) O . C ( c 1 c c c c c 1 ) C S ( = O ) ( = O ) N > C O . C C N ( C C ) C C . S ( = O ) ( [O-] ) ( C ( F ) ( F ) F ) = O . F C ( F ) ( S ( [O-] ) ( = O ) = O ) F . [Cu+2],C C N ( C C ) C C . C O . S ( = O ) ( [O-] ) ( C ( F ) ( F ) F ) = O . F C ( F ) ( S ( [O-] ) ( = O ) = O ) F . [Cu+2] . C ( c 1 c c c c c 1 ) C S ( = O ) ( = O ) N . B ( O ) ( c 1 c c c ( O C ) c c 1 ) O,C O c 1 c c c ( N S ( = O ) ( = O ) C C c 2 c c c c c 2 ) c c 1,C O c 1 c c c ( N ( c 2 c c c ( O C ) c c 2 ) S ( = O ) ( = O ) C C c 2 c c c c c 2 ) c c 1
[O-] [N+] ( = O ) c 1 c c c ( S ( N ) ( = O ) = O ) c c 1 . C O c 1 c c c ( B ( O ) O ) c c 1 > N # C C . N # C C . C C # N . C ( C ) # N . F [P-] ( F ) ( F ) ( F ) ( F ) F . [Cu+] . C O . C C N ( C C ) C C,N # C C . N # C C . C C # N . C ( C ) # N . F [P-] ( F ) ( F ) ( F ) ( F ) F . [Cu+] . C O c 1 c c c ( B ( O ) O ) c c 1 . [O-] [N+] ( = O ) c 1 c c c ( S ( N ) ( = O ) = O ) c c 1 . C C N ( C C ) C C . C O,C O c 1 c c c ( N S ( = O ) ( = O ) c 2 c c c ( [N+] ( = O ) [O-] ) c c 2 ) c c 1,C O c 1 c c c ( N ( c 2 c c c ( O C ) c c 2 ) S ( = O ) ( = O ) c 2 c c c ( [N+] ( = O ) [O-] ) c c 2 ) c c 1
